session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,First Language,Student Status,Fluent languages,Current Country of Residence,Sex,Country of Birth,Employment Status,Nationality
5bc8e436e642db0001d36ad9,5a585be8e0cf3d00012657b8,RETURNED,2018-10-18 19:51:19.880000,,173965.303693,34,107,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5bc8e4395f1e860001f56a3e,5b7c28052158830001ea8359,RETURNED,2018-10-18 19:51:31.776000,,173953.40778,53,18,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5bc8e44c3d893f0001beab40,5bb7d84ae5ccb300015351b1,RETURNED,2018-10-18 19:51:44.913000,,173940.270856,27,14,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5bc8e7132ada890001ccd7ad,5a0a30d90fff620001a6c16d,RETURNED,2018-10-18 20:03:33.516000,,173231.66793,38,225,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5bcaa51308a62c0001f83523,559ade87fdf99b21ba9b0437,RETURNED,2018-10-20 03:46:27.615000,,59057.569002,48,127,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5bcaa52d77740000016a2f62,5a56e32976d1c60001aaf519,RETURNED,2018-10-20 03:46:59.331000,,59025.853075,23,45,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5bcaa5763d893f0001bf0e04,55b47001fdf99b615b12d66c,RETURNED,2018-10-20 03:48:14.129000,,58951.055149,59,420,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5bcaa5940f10750001d76cff,599de51717c03c000151b1f4,RETURNED,2018-10-20 03:48:43.069000,,58922.115237,49,204,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5bcaa59d0f10750001d76d03,5a8cc36eaa46dd00016be7d6,RETURNED,2018-10-20 03:48:52.640000,,58912.544311,28,149,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5bcaa5bc08a62c0001f83542,5ba84c3e3e64da0001ad1773,RETURNED,2018-10-20 03:49:20.681000,,58884.503384,31,30,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5bcaa5e80f10750001d76d0e,5a4bf09053a4560001ba0ebf,RETURNED,2018-10-20 04:01:00.069000,,58185.115458,31,162,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5bcaad514f22df00010ed28a,581ccd016c73180001fa5b2a,RETURNED,2018-10-20 04:21:56.024000,,56929.16054,40,1004,6,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5bc8e43b3d893f0001beab3b,5b20b1454c72120001f25c2a,TIMED-OUT,2018-10-18 19:51:42.276000,,173942.90865,31,55,1,99,,,English,No,English,United States,Female,United States,Unemployed (and job seeking),United States
5bcaa50808a62c0001f83520,5ba8d9574584060001d67cd5,TIMED-OUT,2018-10-20 03:46:22.783000,,59062.440448,29,33,0,100,,,Spanish,No,Spanish,United States,Female,United States,Full-Time,United States
5bcaa550e642db0001d3cc22,5b6645f2f7798c000182baa3,TIMED-OUT,2018-10-20 03:51:28.916000,,58756.347155,19,40,0,100,,,Polish,Yes,Polish,Ireland,Male,Poland,Unemployed (and job seeking),Poland
